"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","SRG","Seritage Growth Properties","Real Estate",-9.4
"1Q23","FLS","Flowserve Corp","Industrials",-9.3
"1Q23","ADM","Archer-Daniels-Midland Co","Consumer Staples",-9.2
"1Q23","BHF","Brighthouse Financial Inc","Financials",-9.1
"1Q23","ALKT","Alkami Technology Inc","Information Technology",-9
"1Q23","HTHT","H World Group Ltd","Consumer Discretionary",-9
"1Q23","LBRDK","Liberty Broadband Corp","Communication Services",-9
"1Q23","JELD","JELD-WEN Holding Inc","Industrials",-8.8
"1Q23","HBAN","Huntington Bancshares Inc","Financials",-8.7
"1Q23","IAG","IAMGOLD Corp","Materials",-8.7
"1Q23","IDXX","IDEXX Laboratories Inc","Health Care",-8.7
"1Q23","ITCI","Intra-Cellular Therapies Inc","Health Care",-8.7
"1Q23","SPOT","Spotify Technology SA","Communication Services",-8.7
"1Q23","PRGO","Perrigo Company PLC","Health Care",-8.6
"1Q23","DXCM","Dexcom Inc","Health Care",-8.5
"1Q23","MDLZ","Mondelez International Inc","Consumer Staples",-8.4
"1Q23","PLXS","Plexus Corp","Information Technology",-8.4
"1Q23","WBS","Webster Financial Corp","Financials",-8.4
"1Q23","GRMN","Garmin Ltd","Consumer Discretionary",-8.3
"1Q23","LBTYK","Liberty Global PLC","Communication Services",-8.3
"1Q23","SMAR","Smartsheet Inc","Information Technology",-8.3
"1Q23","ACGL","Arch Capital Group Ltd","Financials",-8.2
"1Q23","CNHI","CNH Industrial NV","Industrials",-8.2
"1Q23","GPS","Gap Inc","Consumer Discretionary",-8.1
"1Q23","HOPE","Hope Bancorp Inc","Financials",-8.1
"1Q23","TEAM","Atlassian Corp","Information Technology",-8.1
"1Q23","IQ","iQIYI Inc","Communication Services",-7.9
"1Q23","PH","Parker-Hannifin Corp","Industrials",-7.9
"1Q23","SYNA","Synaptics Inc","Information Technology",-7.9
"1Q23","TTWO","Take-Two Interactive Software Inc","Communication Services",-7.9
"1Q23","ZBRA","Zebra Technologies Corp","Information Technology",-7.9
"1Q23","RE","Everest Re Group Ltd","Financials",-7.8
"1Q23","SOFI","SoFi Technologies Inc","Financials",-7.8
"1Q23","WAB","Westinghouse Air Brake Technologies Corp","Industrials",-7.8
"1Q23","KD","Kyndryl Holdings Inc","Information Technology",-7.7
"1Q23","AVGO","Broadcom Inc","Information Technology",-7.6
"1Q23","BOKF","BOK Financial Corp","Financials",-7.6
"1Q23","KMT","Kennametal Inc","Industrials",-7.6
"1Q23","INSP","Inspire Medical Systems Inc","Health Care",-7.5
"1Q23","ON","ON Semiconductor Corp","Information Technology",-7.5
"1Q23","ROST","Ross Stores Inc","Consumer Discretionary",-7.5
"1Q23","TJX","TJX Companies Inc","Consumer Discretionary",-7.5
"1Q23","BWA","Borgwarner Inc","Consumer Discretionary",-7.4
"1Q23","GLW","Corning Inc","Information Technology",-7.4
"1Q23","ODP","ODP Corp","Consumer Discretionary",-7.3
"1Q23","WCN","Waste Connections Inc","Industrials",-7.3
