"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"3Q21","CATY","Cathay General Bancorp","Financials",2.4
"3Q21","CPF","Central Pacific Financial Corp","Financials",2.4
"3Q21","FFIV","F5 Inc","Information Technology",2.4
"3Q21","NVMI","Nova Ltd","Information Technology",2.4
"3Q21","PEBO","Peoples Bancorp Inc","Financials",2.4
"3Q21","WH","Wyndham Hotels & Resorts Inc","Consumer Discretionary",2.4
"3Q21","ENIC","Enel Chile SA","Utilities",2.3
"3Q21","IR","Ingersoll Rand Inc","Industrials",2.3
"3Q21","ISTR","Investar Holding Corp","Financials",2.3
"3Q21","JOUT","Johnson Outdoors Inc","Consumer Discretionary",2.3
"3Q21","PETS","Petmed Express Inc","Consumer Discretionary",2.3
"3Q21","TRMK","Trustmark Corp","Financials",2.3
"3Q21","ADSK","Autodesk Inc","Information Technology",2.2
"3Q21","APTV","Aptiv PLC","Consumer Discretionary",2.2
"3Q21","BUSE","First Busey Corp","Financials",2.2
"3Q21","BWFG","Bankwell Financial Group Inc","Financials",2.2
"3Q21","CBNK","Capital Bancorp Inc","Financials",2.2
"3Q21","CHX","ChampionX Corp","Energy",2.2
"3Q21","DLB","Dolby Laboratories Inc","Information Technology",2.2
"3Q21","EFSC","Enterprise Financial Services Corp","Financials",2.2
"3Q21","ELS","Equity LifeStyle Properties Inc","Real Estate",2.2
"3Q21","FOUR","Shift4 Payments Inc","Financials",2.2
"3Q21","HFWA","Heritage Financial Corp","Financials",2.2
"3Q21","MLKN","MillerKnoll Inc","Industrials",2.2
"3Q21","ONB","Old National Bancorp","Financials",2.2
"3Q21","PBPB","Potbelly Corp","Consumer Discretionary",2.2
"3Q21","PFC","Premier Financial Corp (OHIO)","Financials",2.2
"3Q21","TCFC","Community Financial Corp(Maryland)","Financials",2.2
"3Q21","UTZ","UTZ Brands Inc","Consumer Staples",2.2
"3Q21","WMPN","William Penn Bancorp","Financials",2.2
"3Q21","ACMR","ACM Research Inc","Information Technology",2.1
"3Q21","AEL","American Equity Investment Life Holding Co","Financials",2.1
"3Q21","BCBP","BCB Bancorp Inc","Financials",2.1
"3Q21","CHRD","Chord Energy Corp","Energy",2.1
"3Q21","CRNC","Cerence Inc","Information Technology",2.1
"3Q21","MMSI","Merit Medical Systems Inc","Health Care",2.1
"3Q21","OSK","Oshkosh Corp","Industrials",2.1
"3Q21","SPG","Simon Property Group Inc","Real Estate",2.1
"3Q21","SRCE","1st Source Corp","Financials",2.1
